Stock,Stock Price,Daily Return,Volatility
FPT,45.55,-0.003287674,
FPT,45.7,0.003287674,
FPT,45.75,0.001093494,
FPT,46,0.005449605,
FPT,45.5,-0.010929071,
FPT,45.8,0.006571765,
FPT,45.8,0,
FPT,45.95,0.003269758,
FPT,45.65,-0.006550242,
FPT,45.45,-0.004390786,
FPT,45.7,0.005485477,
FPT,45.85,0.003276901,
FPT,46.55,0.015151805,
FPT,46,-0.011885607,
FPT,46,0,
FPT,45.8,-0.004357305,
FPT,45.4,-0.008771986,
FPT,45.05,-0.007739121,
FPT,45.3,0.005534048,
FPT,45.3,0,
FPT,46,0.015334364,
FPT,46.4,0.008658063,
FPT,44.8,-0.03509132,
FPT,44.45,-0.007843177,
FPT,44.55,0.002247192,
FPT,44.6,0.001121705,
FPT,44.5,-0.00224467,
FPT,44.3,-0.004504512,
FPT,44.7,0.008988825,
FPT,44.9,0.004464293,
FPT,45.1,0.004444452,
FPT,44.7,-0.008908745,
FPT,44.45,-0.00560854,
FPT,44.2,-0.005640173,
FPT,43.8,-0.009090972,
FPT,43.8,0,
FPT,44.4,0.013605652,
FPT,44,-0.009049836,
FPT,44.9,0.020248161,
FPT,45.95,0.023116054,
FPT,46.1,0.003259101,
FPT,46,-0.002171554,
FPT,45.2,-0.01754431,
FPT,44.95,-0.005546326,
FPT,45.1,0.003331486,
FPT,45.25,0.003320424,
FPT,44.85,-0.008879082,
